id,naslov,avtor_id,avtor,leto,ocena,st_ocen,st_kritik
48037,Carmilla,26930,J. Sheridan Le Fanu,1872,3.84,30855,2156
62111,The Swiss Family Robinson,2897630,Johann David Wyss,1812,3.92,89802,2075
152519,Incidents in the Life of a Slave Girl,4369397,Harriet Ann Jacobs,1861,4.09,36157,1965
226378,A Hero of Our Time,15538,Mikhail Lermontov,1840,4.11,39571,1187
538845,Quo Vadis,25619,Henryk Sienkiewicz,1894,4.14,22685,794
18626866,Civil Disobedience,10264,Henry David Thoreau,1849,3.97,9175,494
5296,An Ideal Husband,3565,Oscar Wilde,1893,4.04,33563,950
427354,Venus in Furs,77556,Leopold von Sacher-Masoch,1870,3.64,8930,649
149785,The Way We Live Now,20524,Anthony Trollope,1875,4.05,10192,733
430788,Goblin Market,143178,Christina Rossetti,1862,4.08,9631,307
433567,Flatland: A Romance of Many Dimensions,3093075,Edwin A. Abbott,1884,3.81,44693,3391
206172,The Pit and the Pendulum,4624490,Edgar Allan Poe,1842,4.16,52616,741
78950,Little Men,1315,Louisa May Alcott,1871,3.85,45653,1461
267123,The Warden  (Chronicles of Barsetshire #1),20524,Anthony Trollope,1855,3.72,11102,1046
12857,The Gambler,3137322,Fyodor Dostoyevsky,1866,3.88,39925,1838
26244,A Confession,128382,Leo Tolstoy,1882,4.09,6447,622
14570,"Eight Cousins (Eight Cousins, #1)",1315,Louisa May Alcott,1874,4.01,32918,961
780581,Bel-Ami,18791,Guy de Maupassant,1885,3.82,23610,1102
114230,Bartleby the Scrivener,1624,Herman Melville,1853,3.91,36841,2432
385228,On Liberty,57651,John Stuart Mill,1859,3.95,24415,716
246546,An Old-Fashioned Girl,1315,Louisa May Alcott,1870,4.06,16069,803
35220,The Red Badge of Courage,19879,Stephen Crane,1895,3.22,80530,3151
16619,Democracy in America,465,Alexis de Tocqueville,1840,4.01,20018,678
393636,Idylls of the King,13638502,Alfred Tennyson,1885,3.95,8584,198
899492,The Tell-Tale Heart,4624490,Edgar Allan Poe,1843,4.22,45520,1401
91582,Lady Susan,1265,Jane Austen,1871,3.58,24611,2414
371456,"Nana (Les Rougon-Macquart, #9)",4750,Émile Zola,1880,3.84,17618,496
138134,The Complete Poems of John Keats,11978,John Keats,1820,4.24,19923,232
63038,The Man Who Laughs,13661,Victor Hugo,1869,4.22,8064,469
5695,Demons,3137322,Fyodor Dostoyevsky,1872,4.26,30793,1156
25932,Lost Illusions (La Comédie Humaine),228089,Honoré de Balzac,1837,4.15,7527,287
15638,Cyrano de Bergerac,670859,Edmond Rostand,1897,4.05,66821,1725
286957,The Yellow Wall-Paper,29527,Charlotte Perkins Gilman,1892,4.11,68017,3367
19351490,Grimm's Fairy Tales,2938140,Jacob Grimm,1812,4.13,22418,938
32590,Pan,18317,Knut Hamsun,1894,3.91,6338,352
372319,Jo's Boys,1315,Louisa May Alcott,1886,3.81,28418,664
342994,The Little Match Girl,6378,Hans Christian Andersen,1845,4.08,18643,643
